ekatte,region,municipality,settlement,permanent_2016,current_2016
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9306,8275
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2831,2623
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,37,55
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,177,207
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,246,240
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,85,102
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,58,61
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,666,627
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3437,3098
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,793,745
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1253,1202
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,45,55
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,796,740
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,81,110
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2618,2429
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,272,261
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,223,220
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,185,182
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,231,238
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,293,256
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,82163,74915
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,11045,661
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,207,74
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,85,55
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,272,288
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,64,18
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,55,104
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,40,26
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,63,86
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,70,58
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,592,107
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,425,179
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,206,210
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,717,559
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,22,16
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,1018,225
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,10,6
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,3011,318
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,530,96
