ekatte,region,municipality,settlement,permanent_06_2020,current_06_2020
02676,Q804311,Q2085163,Q391159,9497,8873
21498,Q804311,Q2085163,Q407377,2818,2604
17381,Q804311,Q2085163,Q2653895,28,44
39614,Q804311,Q2085163,Q2653902,151,160
47857,Q804311,Q2085163,Q2654032,221,219
53059,Q804311,Q2085163,Q2598046,74,90
54136,Q804311,Q2085163,Q2654688,45,53
76090,Q804311,Q2085163,Q2989591,657,619
03504,Q804311,Q2281436,Q406631,3337,3057
02107,Q804311,Q2281436,Q2991305,769,724
77596,Q804311,Q2281436,Q2654074,1254,1186
15638,Q804311,Q2281436,Q2459396,34,38
20064,Q804311,Q2281436,Q2653938,788,732
14521,Q804311,Q2281436,Q2017243,77,85
39270,Q804311,Q2281436,Q2459524,2668,2492
40453,Q804311,Q2281436,Q2654224,261,246
44762,Q804311,Q2281436,Q2461503,219,217
53998,Q804311,Q2281436,Q2654355,162,153
59330,Q804311,Q2281436,Q2654293,217,205
80649,Q804311,Q2281436,Q2463896,287,251
04279,Q804311,Q628050,Q173277,82606,74059
03664,Q804311,Q628050,Q2652961,8739,639
04217,Q804311,Q628050,Q2653275,610,66
07168,Q804311,Q628050,Q2653312,134,50
07377,Q804311,Q628050,Q2991319,608,409
14204,Q804311,Q628050,Q4130970,803,44
17004,Q804311,Q628050,Q2456386,593,128
20328,Q804311,Q628050,Q2653486,56,30
20540,Q804311,Q628050,Q4157037,601,96
23652,Q804311,Q628050,Q2458325,56,75
24367,Q804311,Q628050,Q2014816,630,151
27231,Q804311,Q628050,Q2014856,532,199
30702,Q804311,Q628050,Q2653496,222,194
00134,Q804311,Q628050,Q2016606,730,587
37263,Q804311,Q628050,Q2016665,19,29
43520,Q804311,Q628050,Q2654023,1350,214
43863,Q804311,Q628050,Q2460591,8,7
68792,Q804311,Q628050,Q2460576,4745,311
47370,Q804311,Q628050,Q2460706,558,82
49179,Q804311,Q628050,Q2460563,26,47
53031,Q804311,Q628050,Q2460683,37,54
55107,Q804311,Q628050,Q2460715,533,546
57159,Q804311,Q628050,Q2462829,3481,910
62699,Q804311,Q628050,Q2462702,5489,839
66055,Q804311,Q628050,Q2020946,258,301
78464,Q804311,Q628050,Q4505324,730,698
17395,Q804311,Q2557228,Q457141,21969,20120
02600,Q804311,Q2557228,Q2991277,595,552
05606,Q804311,Q2557228,Q2456811,1162,1021
06306,Q804311,Q2557228,Q2653353,3876,3448
07003,Q804311,Q2557228,Q2456832,1113,966
17347,Q804311,Q2557228,Q2653858,520,503
20585,Q804311,Q2557228,Q2458318,39,28
21680,Q804311,Q2557228,Q2653863,27,33
38666,Q804311,Q2557228,Q2462012,2358,1637
44416,Q804311,Q2557228,Q2462025,2066,1645
49432,Q804311,Q2557228,Q2654740,2163,2094
02381,Q804311,Q2452337,Q2454234,179,172
16763,Q804311,Q2452337,Q2456316,1069,1004
18366,Q804311,Q2452337,Q2332319,2153,1859
20331,Q804311,Q2452337,Q2456427,2586,2361
22616,Q804311,Q2452337,Q2458270,1342,1247
24267,Q804311,Q2452337,Q2653490,2331,1904
37472,Q804311,Q2452337,Q2598087,49,64
40138,Q804311,Q2452337,Q2017223,268,240
43606,Q804311,Q2452337,Q2460759,4,9
47408,Q804311,Q2452337,Q2460899,137,174
53326,Q804311,Q2452337,Q2654724,1705,1519
53727,Q804311,Q2452337,Q2460660,213,200
54184,Q804311,Q2452337,Q2019623,575,516
62640,Q804311,Q2452337,Q2462805,3085,2707
66874,Q804311,Q2452337,Q2989143,270,242
