ekatte,region,municipality,settlement,permanent_03_2020,current_03_2020
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9513,8750
21498,БЛАГОЕВГРАД,БАНСКО,ГР. ДОБРИНИЩЕ,2821,2591
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,28,44
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,150,158
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,222,224
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,76,87
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,47,55
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,656,621
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3342,3066
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,769,722
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1256,1190
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,34,38
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,789,736
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,78,87
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2667,2492
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,262,247
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,220,218
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,164,154
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТИК,217,205
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,287,251
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,82601,74649
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,8719,638
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,610,66
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,133,47
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,611,321
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,800,42
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,593,130
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,56,30
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,601,100
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,55,46
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,631,127
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,532,199
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,221,198
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,731,585
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,18,13
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,1342,216
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,8,7
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,4734,313
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,558,83
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,26,46
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,37,24
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,534,556
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,3475,908
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,5492,831
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,263,293
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,729,695
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,21988,20076
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,597,557
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1163,1021
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3877,3453
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,1113,966
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,523,500
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,39,28
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,27,33
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2359,1638
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,2071,1649
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МОСОМИЩЕ,2157,2082
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,181,174
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1072,1008
18366,БЛАГОЕВГРАД,ГЪРМЕН,С. ГЪРМЕН,2148,1861
20331,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЕБРЕН,2589,2375
22616,БЛАГОЕВГРАД,ГЪРМЕН,С. ДОЛНО ДРЯНОВО,1339,1244
24267,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЪБНИЦА,2329,1888
37472,БЛАГОЕВГРАД,ГЪРМЕН,С. КОВАЧЕВИЦА,50,43
40138,БЛАГОЕВГРАД,ГЪРМЕН,С. КРУШЕВО,269,241
43606,БЛАГОЕВГРАД,ГЪРМЕН,С. ЛЕЩЕН,4,7
47408,БЛАГОЕВГРАД,ГЪРМЕН,С. МАРЧЕВО,137,169
53326,БЛАГОЕВГРАД,ГЪРМЕН,С. ОГНЯНОВО,1709,1526
53727,БЛАГОЕВГРАД,ГЪРМЕН,С. ОРЕШЕ,215,202
54184,БЛАГОЕВГРАД,ГЪРМЕН,С. ОСИКОВО,575,518
62640,БЛАГОЕВГРАД,ГЪРМЕН,С. РИБНОВО,3085,2711
66874,БЛАГОЕВГРАД,ГЪРМЕН,С. СКРЕБАТНО,271,239
77222,БЛАГОЕВГРАД,ГЪРМЕН,С. ХВОСТЯНЕ,1393,757
39699,БЛАГОЕВГРАД,КРЕСНА,ГР. КРЕСНА,3537,3667
11569,БЛАГОЕВГРАД,КРЕСНА,С. ВЛАХИ,5,13
16136,БЛАГОЕВГРАД,КРЕСНА,С. ГОРНА БРЕЗНИЦА,466,614
22068,БЛАГОЕВГРАД,КРЕСНА,С. ДОЛНА ГРАДЕШНИЦА,599,656
54537,БЛАГОЕВГРАД,КРЕСНА,С. ОЩАВА,53,83
67369,БЛАГОЕВГРАД,КРЕСНА,С. СЛИВНИЦА,572,621
56126,БЛАГОЕВГРАД,ПЕТРИЧ,ГР. ПЕТРИЧ,40749,30060
02806,БЛАГОЕВГРАД,ПЕТРИЧ,С. БАСКАЛЦИ,59,51
03294,БЛАГОЕВГРАД,ПЕТРИЧ,С. БЕЛАСИЦА,1165,1005
66322,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОГОРОДИЦА,37,11
05596,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОРОВИЧЕНЕ,43,48
11358,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВИШЛЕНЕ,46,45
12036,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВОЛНО,48,10
14091,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГАБРЕНЕ,959,723
14581,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕГА,225,229
