ekatte,region,municipality,settlement,permanent_2000,current_2000
02676,БЛАГОЕВГРАД,БАНСКО,ГР. БАНСКО,9389,8941
17381,БЛАГОЕВГРАД,БАНСКО,С. ГОСТУН,132,123
21498,БЛАГОЕВГРАД,БАНСКО,С. ДОБРИНИЩЕ,3063,3042
39614,БЛАГОЕВГРАД,БАНСКО,С. КРЕМЕН,400,367
47857,БЛАГОЕВГРАД,БАНСКО,С. МЕСТА,276,274
53059,БЛАГОЕВГРАД,БАНСКО,С. ОБИДИМ,220,194
54136,БЛАГОЕВГРАД,БАНСКО,С. ОСЕНОВО,163,123
76090,БЛАГОЕВГРАД,БАНСКО,С. ФИЛИПОВО,680,637
02107,БЛАГОЕВГРАД,БЕЛИЦА,С. БАБЯК,869,814
03504,БЛАГОЕВГРАД,БЕЛИЦА,ГР. БЕЛИЦА,3707,3479
14521,БЛАГОЕВГРАД,БЕЛИЦА,С. ЗЛАТАРИЦА,221,193
15638,БЛАГОЕВГРАД,БЕЛИЦА,С. ГЪЛЪБОВО,167,133
20064,БЛАГОЕВГРАД,БЕЛИЦА,С. ДАГОНОВО,754,727
39270,БЛАГОЕВГРАД,БЕЛИЦА,С. КРАИЩЕ,2161,2189
40453,БЛАГОЕВГРАД,БЕЛИЦА,С. КУЗЬОВО,361,333
41068,БЛАГОЕВГРАД,БЕЛИЦА,С. ВЪРХАРИ,27,0
44762,БЛАГОЕВГРАД,БЕЛИЦА,С. ЛЮТОВО,252,246
53998,БЛАГОЕВГРАД,БЕЛИЦА,С. ОРЦЕВО,262,230
59330,БЛАГОЕВГРАД,БЕЛИЦА,С. ПАЛАТНИК,263,245
77596,БЛАГОЕВГРАД,БЕЛИЦА,С. ГОРНО КРАИЩЕ,1095,1074
80649,БЛАГОЕВГРАД,БЕЛИЦА,С. ЧЕРЕШОВО,301,277
00134,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ИЗГРЕВ,388,540
03664,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЕЛО ПОЛЕ,524,593
04217,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БИСТРИЦА,53,123
04279,БЛАГОЕВГРАД,БЛАГОЕВГРАД,ГР. БЛАГОЕВГРАД,78818,77637
07168,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БУЧИНО,111,108
07377,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. БЪЛГАРЧЕВО,246,300
14204,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГАБРОВО,69,85
17004,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ГОРНО ХЪРСОВО,29,263
20328,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕБОЧИЦА,33,61
20540,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЕЛВИНО,12,127
23652,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДРЕНКОВО,69,110
24367,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ДЪБРАВА,102,105
27231,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЕЛЕНОВО,100,147
30702,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЗЕЛЕНДОЛ,169,253
37263,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. КЛИСУРА,15,23
43520,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛЕШКО,262,285
43863,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛИСИЯ,22,33
45082,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАШ,0,0
47370,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МАРУЛЕВО,26,91
49179,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. МОЩАНЕЦ,35,74
53031,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ОБЕЛ,18,29
55107,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПАДЕШ,665,792
57159,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ПОКРОВНИК,704,836
62699,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. РИЛЦИ,681,843
66055,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. СЕЛИЩЕ,240,472
68792,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЛОГОДАЖ,150,335
78464,БЛАГОЕВГРАД,БЛАГОЕВГРАД,С. ЦЕРОВО,638,642
02600,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БАНИЧАН,675,665
05606,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БОРОВО,1181,1176
06306,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БРЕЗНИЦА,3729,3535
07003,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. БУКОВО,962,934
17347,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ГОСПОДИНЦИ,455,447
17395,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,ГР. ГОЦЕ ДЕЛЧЕВ,23216,21001
20585,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДЕЛЧЕВО,126,101
21680,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДОБРОТИНО,84,68
23460,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ДРАГОСТИН,50,3
38666,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. КОРНИЦА,2196,1724
44416,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. ЛЪЖНИЦА,1805,1435
49432,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. МУСОМИЩА,2306,2350
68391,БЛАГОЕВГРАД,ГОЦЕ ДЕЛЧЕВ,С. СРЕДНА,44,112
02381,БЛАГОЕВГРАД,ГЪРМЕН,С. БАЛДЕВО,258,278
16763,БЛАГОЕВГРАД,ГЪРМЕН,С. ГОРНО ДРЯНОВО,1117,1074
18366,БЛАГОЕВГРАД,ГЪРМЕН,С. ГЪРМЕН,1743,1861
20331,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЕБРЕН,2288,2228
22616,БЛАГОЕВГРАД,ГЪРМЕН,С. ДОЛНО ДРЯНОВО,1240,1209
24267,БЛАГОЕВГРАД,ГЪРМЕН,С. ДЪБНИЦА,2023,1719
37472,БЛАГОЕВГРАД,ГЪРМЕН,С. КОВАЧЕВИЦА,53,56
40138,БЛАГОЕВГРАД,ГЪРМЕН,С. КРУШЕВО,254,241
43606,БЛАГОЕВГРАД,ГЪРМЕН,С. ЛЕЩЕН,13,19
47408,БЛАГОЕВГРАД,ГЪРМЕН,С. МАРЧЕВО,179,184
53326,БЛАГОЕВГРАД,ГЪРМЕН,С. ОГНЯНОВО,1629,1669
53727,БЛАГОЕВГРАД,ГЪРМЕН,С. ОРЕШЕ,417,377
54184,БЛАГОЕВГРАД,ГЪРМЕН,С. ОСИКОВО,618,576
62640,БЛАГОЕВГРАД,ГЪРМЕН,С. РИБНОВО,2719,2390
66874,БЛАГОЕВГРАД,ГЪРМЕН,С. СКРЕБАТНО,343,330
77222,БЛАГОЕВГРАД,ГЪРМЕН,С. ХВОСТЯНЕ,998,616
06834,БЛАГОЕВГРАД,КРЕСНА,С. БУДИЛЦИ,0,0
11569,БЛАГОЕВГРАД,КРЕСНА,С. ВЛАХИ,25,19
39699,БЛАГОЕВГРАД,КРЕСНА,ГР. КРЕСНА,3936,4040
16136,БЛАГОЕВГРАД,КРЕСНА,С. ГОРНА БРЕЗНИЦА,637,721
22068,БЛАГОЕВГРАД,КРЕСНА,С. ДОЛНА ГРАДЕШНИЦА,760,727
27098,БЛАГОЕВГРАД,КРЕСНА,С. ЕЗЕРЕЦ,0,0
52163,БЛАГОЕВГРАД,КРЕСНА,С. НОВО СЕЛО,0,0
54537,БЛАГОЕВГРАД,КРЕСНА,С. ОЩАВА,102,111
67369,БЛАГОЕВГРАД,КРЕСНА,С. СЛИВНИЦА,667,673
02806,БЛАГОЕВГРАД,ПЕТРИЧ,С. БАСКАЛЦИ,135,126
03294,БЛАГОЕВГРАД,ПЕТРИЧ,С. БЕЛАСИЦА,1195,1169
05596,БЛАГОЕВГРАД,ПЕТРИЧ,С. БОРОВИЧЕНЕ,117,107
11358,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВИШЛЕНЕ,75,86
12036,БЛАГОЕВГРАД,ПЕТРИЧ,С. ВОЛНО,49,38
14091,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГАБРЕНЕ,858,811
14581,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЕГА,395,387
17302,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГОРЧЕВО,11,12
18472,БЛАГОЕВГРАД,ПЕТРИЧ,С. ГЮРГЕВО,2,0
21885,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛЕНЕ,51,47
22143,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА КРУШИЦА,303,271
22246,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНА РИБНИЦА,428,458
22842,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДОЛНО СПАНЧЕВО,172,173
23488,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАГУШ,56,57
23563,БЛАГОЕВГРАД,ПЕТРИЧ,С. ДРАНГОВО,554,550
